partida_id,rodata,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,id_clube
168,15,0,0,,0,,0,0,0,0,0,12
168,15,0,0,,0,,0,0,0,0,0,32
169,15,0,0,,0,,0,0,0,0,0,11
169,15,0,0,,0,,0,0,0,0,0,1
170,15,0,0,,0,,0,0,0,0,0,6
170,15,0,0,,0,,0,0,0,0,0,25
171,15,0,0,,0,,0,0,0,0,0,37
171,15,0,0,,0,,0,0,0,0,0,28
172,15,0,0,,0,,0,0,0,0,0,31
172,15,0,0,,0,,0,0,0,0,0,41
173,15,0,0,,0,,0,0,0,0,0,8
173,15,0,0,,0,,0,0,0,0,0,9
174,15,0,0,,0,,0,0,0,0,0,2
174,15,0,0,,0,,0,0,0,0,0,40
175,15,0,0,,0,,0,0,0,0,0,23
175,15,0,0,,0,,0,0,0,0,0,14
176,15,0,0,,0,,0,0,0,0,0,15
176,15,0,0,,0,,0,0,0,0,0,21
177,15,0,0,,0,,0,0,0,0,0,30
177,15,0,0,,0,,0,0,0,0,0,10
178,15,0,0,,0,,0,0,0,0,0,35
178,15,0,0,,0,,0,0,0,0,0,39
181,16,0,0,,0,,0,0,0,0,0,12
181,16,0,0,,0,,0,0,0,0,0,39
182,16,0,0,,0,,0,0,0,0,0,2
182,16,0,0,,0,,0,0,0,0,0,1
183,16,0,0,,0,,0,0,0,0,0,30
183,16,0,0,,0,,0,0,0,0,0,31
184,16,0,0,,0,,0,0,0,0,0,35
184,16,0,0,,0,,0,0,0,0,0,23
185,16,0,0,,0,,0,0,0,0,0,41
185,16,0,0,,0,,0,0,0,0,0,6
186,16,0,0,,0,,0,0,0,0,0,16
186,16,0,0,,0,,0,0,0,0,0,40
