ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
6152,3,2018-04-29,16:00,3-4-2-1,4-4-1-1,A. da Silva Braga,D. Aguirre Camblor,-, Maracanã,1,1,RJ,SP,0.0,9,2
6147,3,2018-04-29,16:01,4-2-3-1,3-4-2-1,A. Ferreira,F. Diniz Silva,-,Itaipava Arena Fonte Nova,0,0,BA,PR,0.0,37,15
6148,3,2018-04-29,16:01,3-4-2-1,4-3-3,M. Oliveira Chamusca,M. Nogueira Barbieri,Flamengo,Arena Castelão,0,3,CE,RJ,0.0,27,41
6150,3,2018-04-29,16:01,4-2-3-1,4-2-3-1,Ademir Fesan,C. dos Santos Oliveira,Sport,Vila Capanema,1,2,PR,PE,0.0,39,18
6153,3,2018-04-29,19:00,4-2-3-1,4-4-2,O. Hellmann,L. Venker de Menezes,-,Estádio José Pinheiro Borda,0,0,RS,MG,0.0,10,30
6154,3,2018-04-30,20:02,4-2-3-1,4-2-3-1,E. Alves Moreira,V. Carmo Mancini,America-MG,Estádio Raimundo Sampaio,2,1,MG,BA,0.0,46,21
6156,4,2018-05-05,19:00,4-2-3-1,4-2-3-1,J. Mannarino,E. Alves Moreira,Vasco,Estádio Vasco da Gama,4,1,RJ,MG,0.0,12,46
6157,4,2018-05-05,19:01,3-4-3,4-2-3-1,D. Aguirre Camblor,T. Mendes Larghi,-, Morumbi,2,2,SP,MG,0.0,2,35
6158,4,2018-05-06,11:03,4-2-3-1,4-2-3-1,F. Carille,M. Oliveira Chamusca,-,Neo Química Arena,1,1,SP,CE,0.0,8,27
6159,4,2018-05-06,16:00,4-1-4-1,4-1-4-1,M. Nogueira Barbieri,O. Hellmann,Flamengo, Maracanã,2,0,RJ,RS,0.0,41,10
6160,4,2018-05-06,16:00,4-2-3-1,4-1-4-1,L. Venker de Menezes,A. Valentim do Carmo Neto,Cruzeiro, Mineirão,1,0,MG,RJ,0.0,30,7
